T,ULS1_ST1,ULS2_ST1,ST1,ULS_ST2,ST2,ULS_ST3,ST3,ULS_ST4,ST4,ULS_ST5,ST5,ULS_ST6,ST6,ULS_ST7,ST7,ULS_ST8,ST8
6,2720.94,2798.39,2864.77,2875.85,2929.79,2953.29,3010.00,3030.76,3093.00,3108.20,3173.20,3185.68,3263.10,3339.20,0,0
7,2834.35,2903.50,2914.57,0,2967.11,3001.73,3047.37,3098.54,3171.84,3195.36,3293.55,3390.36,3415.27,3459.53,3506.56,3528.69,3599.25
8,3003.09,3086.08,3158.01,3210.55,3270.01,3335.07,3427.73,3459.53,3583.99,3667.00,3696.04,3749.98,3806.67,3834.36,3917.35,0,0
9,3189.81,3271.42,3346.11,3404.19,3470.59,3536.98,3646.25,3669.79,3803.92,3895.23,3935.32,3986.51,4054.26,4077.80,4169.10,0,0
10,3424.94,3506.56,0,3538.36,3575.70,3708.50,3792.87,3880.02,4008.63,4050.12,4220.23,4333.68,4375.17,4448.46,4524.54,4561.91,4675.31
11,3925.63,4019.70,0,4099.91,4148.34,4274.21,4369.62,4449.86,4593.70,4624.14,4740.33,4856.52,4899.68,4975.14,5054.77,5092.47,5210.89
12,4210.57,4311.55,0,4418.04,4474.77,4626.91,4740.33,4834.36,5005.87,5045.00,5185.25,5329.16,5379.02,5471.64,5567.13,5615.58,5758.08
13,4719.56,4945.81,5018.46,5173.84,5196.66,5404.70,5451.71,5636.97,5706.75,5790.83,5883.43,5946.17,6060.14,6100.04,6236.82,6255.36,6409.26
14,4906.68,5202.37,5280.72,5503.01,5532.95,5803.65,5864.95,6104.32,6194.08,6303.80,6420.67,6504.72,6650.04,6704.20,6876.61,6905.11,7106.05
15,6382.16,6477.64,0,0,6678.55,6712.78,6905.11,6976.37,7133.12,7239.96,7359.68,7505.01,7584.79,7768.59,7809.95,0,8033.66
16,7047.61,7153.06,0,0,7393.86,7430.92,7654.64,7735.82,7916.79,8042.18,8176.16,8347.14,8439.75,8653.49,8700.52,0,8958.42
