T,2,3,4,5,6,7,8,9,10,11,12
5,2746.48,2813.77,2881.01,2948.32,3015.57,3082.87,3150.13,3217.41,3284.69,,
6,2790.59,2864.48,2938.35,3012.20,3086.06,3159.96,3233.79,3307.67,3381.55,,
7,2891.11,2984.07,3077.01,3169.96,3262.90,3355.88,3422.26,3488.61,3555.01,,
8,3064.87,3183.94,3303.05,3422.20,3541.31,3620.73,3700.13,3779.56,3858.96,,
9,3241.87,3369.01,3496.13,3623.24,3750.39,3837.76,3925.19,4012.56,4099.95,,
10,3497.40,3660.27,3823.14,3986.05,4148.94,4257.53,4366.52,4477.60,4588.66,,
11,4033.69,4200.53,4367.90,4538.67,4652.51,4766.31,4880.17,4993.99,5107.84,,
12,4541.26,4744.86,4948.45,5084.10,5219.83,5355.52,5491.28,5626.96,,,
13,5072.24,5292.03,5511.85,5658.44,5804.98,5951.54,6098.07,6244.61,,,
14,5384.83,5669.87,5954.94,6144.94,6334.99,6525.04,6715.11,6905.11,,,
15,6531.93,6782.71,7033.41,7284.13,7534.88,7785.58,,,,,
16,7213.36,7503.41,7793.35,8083.31,8373.28,8663.28,,,,,
