T,1,2,3,4,5,6,7,8,9,10
6,2942.09,2986.56,3029.59,3100.09,3141.33,3211.17,3280.99,3350.79,,
7,3039.98,3101.88,3161.96,3250.72,3308.46,3396.35,3459.06,3521.82,3584.59,
8,3160.45,3209.14,3294.61,3377.78,3459.00,3571.62,3646.69,3721.73,3796.83,3871.86
9,3335.77,3381.53,3473.03,3562.12,3649.08,3769.27,3851.84,3934.50,4017.08,4099.70
10,3557.11,3630.39,3753.88,3874.32,3991.99,4145.98,4248.59,4351.26,4453.87,4556.51
11,4027.10,4152.56,4274.84,4393.97,4510.33,4615.45,4721.06,4828.44,4935.84,5043.23
12,4490.43,4642.60,4791.05,4939.67,5020.85,5148.86,5276.90,5406.32,5536.63,
13,4987.30,5154.56,5317.60,5478.25,5566.84,5707.57,5848.27,5989.05,6129.77,
14,5230.07,5458.34,5685.71,5907.97,6034.05,6216.60,6399.08,6581.56,6764.09,
15,6342.25,6592.78,6775.82,6954.01,7128.04,7368.84,7609.61,,,
16,6974.01,7266.92,7481.84,7691.09,7895.49,8173.97,8452.44,,,
