T,1,2,3,4,5,6,7,8,9,10,11,12
6,2885.36,2962.12,3038.91,3115.65,3192.45,3269.23,3345.96,,,,,
7,2986.74,3082.53,3178.34,3274.16,3369.99,3438.39,3506.84,3575.31,,,,
8,3070.00,3192.78,3315.56,3438.34,3561.16,3643.02,3724.83,3806.75,3888.58,,,
9,3252.47,3383.53,3514.55,3645.63,3776.68,3866.75,3956.89,4046.93,4137.05,,,
10,3470.15,3635.75,3801.35,3966.97,4132.56,4243.00,4355.63,4468.54,4581.50,,,
11,4015.41,4185.08,4357.03,4530.64,4646.38,4762.11,4877.88,4993.57,5109.32,,,
12,4326.35,4533.31,4740.28,4947.26,5085.22,5223.18,5361.16,5499.22,5637.12,,,
13,5073.12,5296.64,5520.13,5669.13,5818.10,5967.11,6116.14,6265.14,,,,
14,5370.04,5658.74,5947.40,6139.84,6332.31,6524.76,6717.25,6909.70,,,,
15,6531.77,6785.69,7039.60,7293.50,7547.44,7801.35,,,,,,
16,7221.85,7515.52,7809.19,8102.84,8396.52,8690.16,,,,,,
